loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.0,,0.0005,0.25,1,,,,,,,,,
0.0,,0.0004875,0.5,2,,,,,,,,,
0.0,,0.000475,0.75,3,,,,,,,,,
0.0,,0.0004625,1.0,4,,,,,,,,,
,,,1.0,4,,0.0781,51.212,12.803,,,,,
0.0,,0.00045000000000000004,1.25,5,,,,,,,,,
0.0,,0.0004375,1.5,6,,,,,,,,,
0.0,,0.000425,1.75,7,,,,,,,,,
0.0,,0.0004125,2.0,8,,,,,,,,,
,,,2.0,8,,0.1345,29.749,7.437,,,,,
0.0,,0.0004,2.25,9,,,,,,,,,
0.0,,0.00038750000000000004,2.5,10,,,,,,,,,
0.0,,0.000375,2.75,11,,,,,,,,,
0.0,,0.0003625,3.0,12,,,,,,,,,
,,,3.0,12,,0.103,38.85,9.713,,,,,
0.0,,0.00035,3.25,13,,,,,,,,,
0.0,,0.0003375,3.5,14,,,,,,,,,
0.0,,0.00032500000000000004,3.75,15,,,,,,,,,
0.0,,0.0003125,4.0,16,,,,,,,,,
,,,4.0,16,,0.0502,79.662,19.915,,,,,
0.0,,0.0003,4.25,17,,,,,,,,,
0.0,,0.0002875,4.5,18,,,,,,,,,
0.0,,0.000275,4.75,19,,,,,,,,,
0.0,,0.00026250000000000004,5.0,20,,,,,,,,,
,,,5.0,20,,0.0534,74.902,18.726,,,,,
0.0,,0.00025,5.25,21,,,,,,,,,
0.0,,0.0002375,5.5,22,,,,,,,,,
0.0,,0.00022500000000000002,5.75,23,,,,,,,,,
0.0,,0.0002125,6.0,24,,,,,,,,,
,,,6.0,24,,0.0646,61.937,15.484,,,,,
0.0,,0.0002,6.25,25,,,,,,,,,
0.0,,0.0001875,6.5,26,,,,,,,,,
0.0,,0.000175,6.75,27,,,,,,,,,
0.0,,0.00016250000000000002,7.0,28,,,,,,,,,
,,,7.0,28,,0.0796,50.272,12.568,,,,,
0.0,,0.00015,7.25,29,,,,,,,,,
0.0,,0.0001375,7.5,30,,,,,,,,,
0.0,,0.000125,7.75,31,,,,,,,,,
0.0,,0.00011250000000000001,8.0,32,,,,,,,,,
,,,8.0,32,,0.049,81.627,20.407,,,,,
0.0,,0.0001,8.25,33,,,,,,,,,
0.0,,8.75e-05,8.5,34,,,,,,,,,
0.0,,7.5e-05,8.75,35,,,,,,,,,
0.0,,6.25e-05,9.0,36,,,,,,,,,
,,,9.0,36,,0.0537,74.505,18.626,,,,,
0.0,,5e-05,9.25,37,,,,,,,,,
0.0,,3.75e-05,9.5,38,,,,,,,,,
0.0,,2.5e-05,9.75,39,,,,,,,,,
0.0,,1.25e-05,10.0,40,,,,,,,,,
,,,10.0,40,,0.0486,82.286,20.571,,,,,
,,,10.0,40,,,,,14.9597,10.695,2.674,2386501287936.0,0.0
,,,10.0,40,,0.1254,31.894,7.974,,,,,
